LumiCycle: E5 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/18/2016,19:01,003.79236,01634.694,01278.637
12/18/2016,19:11,003.79931,01645.071,01277.906
12/18/2016,19:21,003.80625,01659.863,01277.261
12/18/2016,19:31,003.81319,01684.166,01276.553
12/18/2016,19:41,003.82014,01704.906,01275.953
12/18/2016,19:51,003.82708,01705.891,01275.641
12/18/2016,20:01,003.83403,01731.064,01275.264
12/18/2016,20:11,003.84097,01734.220,01275.045
12/18/2016,20:21,003.84792,01750.968,01274.772
12/18/2016,20:31,003.85486,01770.153,01274.648
12/18/2016,20:41,003.86181,01772.509,01274.716
12/18/2016,20:51,003.86875,01779.175,01274.758
12/18/2016,21:01,003.87569,01785.115,01274.933
12/18/2016,21:11,003.88264,01779.927,01275.261
12/18/2016,21:21,003.88958,01776.824,01275.701
12/18/2016,21:31,003.89653,01778.661,01276.120
12/18/2016,21:41,003.90347,01792.582,01276.519
12/18/2016,21:51,003.91042,01782.549,01277.110
12/18/2016,22:01,003.91736,01772.361,01277.860
12/18/2016,22:11,003.92431,01790.040,01278.563
12/18/2016,22:21,003.93125,01772.868,01279.487
12/18/2016,22:31,003.93819,01772.147,01280.371
12/18/2016,22:41,003.94514,01763.647,01281.433
12/18/2016,22:51,003.95208,01758.908,01282.536
12/18/2016,23:01,003.95903,01751.979,01283.710
12/18/2016,23:11,003.96597,01729.802,01285.088
12/18/2016,23:21,003.97292,01725.516,01286.434
12/18/2016,23:31,003.97986,01720.827,01287.770
12/18/2016,23:41,003.98681,01707.795,01289.298
12/18/2016,23:51,003.99375,01698.136,01290.877
12/19/2016,00:01,004.00069,01678.122,01292.506
12/19/2016,00:11,004.00764,01664.138,01294.276
12/19/2016,00:21,004.01458,01638.921,01296.109
12/19/2016,00:31,004.02153,01625.844,01298.022
12/19/2016,00:41,004.02847,01619.297,01299.851
12/19/2016,00:51,004.03542,01599.608,01301.855
12/19/2016,00:59,004.04236,01582.757,01303.931
12/19/2016,01:01,004.04931,01557.195,01306.152
12/19/2016,01:11,004.05625,01539.543,01308.286
12/19/2016,01:21,004.06319,01529.862,01310.388
12/19/2016,01:31,004.07014,01507.876,01312.534
12/19/2016,01:41,004.07708,01490.697,01314.712
12/19/2016,01:51,004.08403,01477.509,01316.959
12/19/2016,02:01,004.09097,01454.483,01319.143
12/19/2016,02:11,004.09792,01439.233,01321.383
12/19/2016,02:21,004.10486,01414.986,01323.631
12/19/2016,02:31,004.11181,01398.099,01325.894
12/19/2016,02:41,004.11875,01378.090,01328.172
12/19/2016,02:51,004.12569,01362.567,01330.354
12/19/2016,03:01,004.13264,01343.384,01332.524
12/19/2016,03:11,004.13958,01331.597,01334.641
12/19/2016,03:21,004.14653,01302.197,01336.823
12/19/2016,03:31,004.15347,01287.113,01338.894
12/19/2016,03:41,004.16042,01268.535,01340.939
12/19/2016,03:51,004.16736,01258.191,01342.860
12/19/2016,04:01,004.17431,01239.411,01344.818
12/19/2016,04:11,004.18125,01216.818,01346.693
12/19/2016,04:21,004.18819,01209.035,01348.398
12/19/2016,04:31,004.19514,01186.416,01350.134
12/19/2016,04:41,004.20208,01176.798,01351.759
12/19/2016,04:51,004.20903,01151.692,01353.385
12/19/2016,05:01,004.21597,01141.452,01354.817
12/19/2016,05:11,004.22292,01129.738,01356.175
12/19/2016,05:21,004.22986,01117.756,01357.460
12/19/2016,05:31,004.23681,01104.395,01358.604
12/19/2016,05:41,004.24375,01098.129,01359.641
12/19/2016,05:51,004.25069,01077.887,01360.629
12/19/2016,06:01,004.25764,01071.208,01361.351
12/19/2016,06:11,004.26458,01059.185,01362.120
12/19/2016,06:21,004.27153,01052.021,01362.564
12/19/2016,06:31,004.27847,01036.540,01363.042
12/19/2016,06:41,004.28542,01025.975,01363.317
12/19/2016,06:51,004.29236,01019.848,01363.386
12/19/2016,07:01,004.29931,01008.525,01363.398
12/19/2016,07:11,004.30625,01001.560,01363.264
12/19/2016,07:21,004.31319,00991.898,01363.124
12/19/2016,07:31,004.32014,00988.328,01362.687
12/19/2016,07:41,004.32708,00983.078,01362.145
12/19/2016,07:51,004.33403,00981.103,01361.500
12/19/2016,08:01,004.34097,00977.233,01360.732
12/19/2016,08:11,004.34792,00968.297,01359.862
12/19/2016,08:21,004.35486,00975.403,01358.801
12/19/2016,08:31,004.36181,00972.810,01357.641
12/19/2016,08:41,004.36875,00964.306,01356.510
