LumiCycle: 06 (Raw)
Date,Time (hr:min),Time (days),counts/sec, baseline 
12/16/2017,20:22,003.84861,00290.885,00234.622
12/16/2017,20:37,003.85903,00291.329,00234.367
12/16/2017,20:52,003.86944,00291.694,00234.097
12/16/2017,21:07,003.87986,00296.186,00233.758
12/16/2017,21:22,003.89028,00293.910,00233.520
12/16/2017,21:37,003.90069,00292.509,00233.241
12/16/2017,21:52,003.91111,00291.262,00232.936
12/16/2017,22:07,003.92153,00292.156,00232.648
12/16/2017,22:22,003.93194,00291.097,00232.337
12/16/2017,22:37,003.94236,00293.469,00231.941
12/16/2017,22:52,003.95278,00288.897,00231.613
12/16/2017,23:07,003.96319,00286.147,00231.290
12/16/2017,23:22,003.97361,00287.979,00230.889
12/16/2017,23:37,003.98403,00287.738,00230.500
12/16/2017,23:52,003.99444,00283.416,00230.136
12/17/2017,00:07,004.00486,00280.158,00229.698
12/17/2017,00:22,004.01528,00280.782,00229.234
12/17/2017,00:37,004.02569,00276.389,00228.798
12/17/2017,00:52,004.03611,00273.275,00228.367
12/17/2017,01:07,004.04653,00270.425,00227.887
12/17/2017,01:22,004.05694,00268.180,00227.353
12/17/2017,01:37,004.06736,00262.242,00226.867
12/17/2017,01:52,004.07778,00262.029,00226.301
12/17/2017,02:07,004.08819,00258.951,00225.732
12/17/2017,02:22,004.09861,00253.934,00225.178
12/17/2017,02:37,004.10903,00250.237,00224.562
12/17/2017,02:52,004.11944,00245.472,00223.944
12/17/2017,03:07,004.12986,00245.607,00223.244
12/17/2017,03:22,004.14028,00240.370,00222.569
12/17/2017,03:37,004.15069,00239.576,00221.812
12/17/2017,03:52,004.16111,00232.899,00221.114
12/17/2017,04:07,004.17153,00231.862,00220.352
12/17/2017,04:22,004.18194,00226.380,00219.632
12/17/2017,04:37,004.19236,00222.130,00218.834
12/17/2017,04:52,004.20278,00216.158,00218.076
12/17/2017,05:07,004.21319,00214.222,00217.261
12/17/2017,05:22,004.22361,00210.789,00216.421
12/17/2017,05:37,004.23403,00206.768,00215.560
12/17/2017,05:52,004.24444,00203.803,00214.676
12/17/2017,06:07,004.25486,00201.112,00213.808
12/17/2017,06:22,004.26528,00192.869,00212.975
12/17/2017,06:37,004.27569,00190.982,00212.070
12/17/2017,06:52,004.28611,00186.347,00211.154
12/17/2017,07:07,004.29653,00186.986,00210.149
12/17/2017,07:22,004.30694,00185.746,00209.185
12/17/2017,07:37,004.31736,00180.456,00208.235
12/17/2017,07:52,004.32778,00179.192,00207.215
12/17/2017,08:07,004.33819,00177.839,00206.191
12/17/2017,08:22,004.34861,00171.385,00205.237
12/17/2017,08:37,004.35903,00170.306,00204.229
12/17/2017,08:52,004.36944,00168.532,00203.202
12/17/2017,09:07,004.37986,00164.751,00202.233
12/17/2017,09:22,004.39028,00165.387,00201.163
12/17/2017,09:37,004.40069,00160.828,00200.207
12/17/2017,09:52,004.41111,00158.987,00199.219
12/17/2017,10:07,004.42153,00157.720,00198.244
12/17/2017,10:22,004.43194,00156.569,00197.251
12/17/2017,10:37,004.44236,00153.974,00196.289
12/17/2017,10:52,004.45278,00151.404,00195.318
12/17/2017,11:07,004.46319,00153.243,00194.346
12/17/2017,11:22,004.47361,00149.585,00193.474
12/17/2017,11:37,004.48403,00152.199,00192.484
12/17/2017,11:52,004.49444,00151.193,00191.554
12/17/2017,12:07,004.50486,00148.855,00190.685
12/17/2017,12:22,004.51528,00147.370,00189.823
12/17/2017,12:37,004.52569,00147.616,00188.939
12/17/2017,12:52,004.53611,00148.736,00188.089
12/17/2017,13:07,004.54653,00149.060,00187.260
12/17/2017,13:22,004.55694,00146.571,00186.492
12/17/2017,13:37,004.56736,00148.464,00185.681
12/17/2017,13:52,004.57778,00148.629,00184.930
